         1	         2	         3	         4	         5

 3 30/01/2016	15 22/06/2016	24 10/08/2016	18 06/04/2016	17 01/02/2017
 8 23/11/2016	12 23/11/2016	 2 29/10/2016	 2 17/09/2016	21 15/02/2017
 6 15/02/2017	10 28/01/2017	23 28/01/2017	15 05/11/2016	 6 25/02/2017
24 08/03/2017	11 15/02/2017	19 18/03/2017	 7 14/12/2016	24 25/03/2017
23 11/03/2017	 2 25/03/2017	17 22/03/2017	 1 21/12/2016	13 01/04/2017
10 29/03/2017	19 01/04/2017	11 01/04/2017	11 08/03/2017	22 15/04/2017
 4 08/04/2017	 6 22/04/2017	22 15/04/2017	 4 11/03/2017	18 26/04/2017
12 19/04/2017	 3 24/05/2017	15 29/04/2017	 9 18/03/2017	23 06/05/2017
13 20/05/2017	14 27/05/2017	21 03/05/2017	22 29/03/2017	16 13/05/2017
 2 24/05/2017	21 31/05/2017	 5 27/05/2017	 5 08/04/2017	10 17/05/2017
22 17/06/2017	24 03/06/2017	 8 21/06/2017	13 15/04/2017	12 27/05/2017
 1 24/06/2017	 4 07/06/2017	 9 28/06/2017	21 26/04/2017	 2 31/05/2017
 5 28/06/2017	 8 14/06/2017	 1 01/07/2017	24 13/05/2017	 5 14/06/2017
20 01/07/2017	18 17/06/2017	 4 05/07/2017	 6 03/06/2017	 4 17/06/2017
 9 08/07/2017	 7 28/06/2017	18 08/07/2017	 3 07/06/2017	11 28/06/2017
18 12/07/2017	25 01/07/2017	20 12/07/2017	10 21/06/2017	19 01/07/2017
19 19/07/2017	22 12/07/2017	14 19/07/2017	12 24/06/2017	14 08/07/2017
25 22/07/2017	20 19/07/2017	13 22/07/2017	25 01/07/2017	20 12/07/2017
17 26/07/2017	13 26/07/2017	16 26/07/2017	17 22/07/2017	25 22/07/2017
14 29/07/2017	 1 29/07/2017	 7 29/07/2017	19 26/07/2017	 7 29/07/2017
16 02/08/2017	16 02/08/2017	25 02/08/2017	20 29/07/2017	 8 02/08/2017
 7 05/08/2017	 9 05/08/2017	10 05/08/2017	 8 02/08/2017	 9 05/08/2017
11 09/08/2017	 5 09/08/2017	 3 09/08/2017	14 09/08/2017	 3 09/08/2017
21 12/08/2017	23 12/08/2017	12 12/08/2017	16 12/08/2017	 1 12/08/2017
15 16/08/2017	17 16/08/2017	 6 16/08/2017	23 16/08/2017	15 16/08/2017



         6	         7	         8	         9	        10

 7 18/02/2017	19 07/12/2016	16 21/09/2016	23 05/10/2016	18 21/01/2017
 4 04/03/2017	 9 21/12/2016	25 28/01/2017	14 07/01/2017	 7 25/01/2017
 8 25/03/2017	 5 28/12/2016	23 01/02/2017	 2 01/02/2017	 3 01/02/2017
 9 29/03/2017	 7 01/02/2017	19 04/02/2017	16 15/02/2017	17 18/02/2017
12 29/04/2017	 3 26/04/2017	 6 04/03/2017	18 11/03/2017	 8 01/03/2017
18 10/05/2017	 8 29/04/2017	15 22/03/2017	25 25/03/2017	15 29/03/2017
15 20/05/2017	 4 10/05/2017	 1 29/04/2017	 3 05/04/2017	19 19/04/2017
 1 24/05/2017	16 17/05/2017	 2 03/05/2017	 7 08/04/2017	13 29/04/2017
21 07/06/2017	18 24/05/2017	22 06/05/2017	15 15/04/2017	24 03/05/2017
19 14/06/2017	 1 31/05/2017	14 20/05/2017	21 29/04/2017	 5 31/05/2017
22 17/06/2017	 2 07/06/2017	17 24/05/2017	11 10/05/2017	23 07/06/2017
24 21/06/2017	15 14/06/2017	12 03/06/2017	 5 10/06/2017	 9 21/06/2017
 2 24/06/2017	23 21/06/2017	11 10/06/2017	 6 14/06/2017	20 24/06/2017
 3 28/06/2017	22 28/06/2017	 7 21/06/2017	10 21/06/2017	16 28/06/2017
16 05/07/2017	20 01/07/2017	10 01/07/2017	 8 28/06/2017	 4 01/07/2017
10 08/07/2017	24 05/07/2017	18 05/07/2017	17 01/07/2017	11 08/07/2017
 5 15/07/2017	12 08/07/2017	20 12/07/2017	20 05/07/2017	10 15/07/2017
20 19/07/2017	17 19/07/2017	24 15/07/2017	12 19/07/2017	25 19/07/2017
25 22/07/2017	21 22/07/2017	 4 19/07/2017	 4 22/07/2017	14 22/07/2017
13 29/07/2017	13 29/07/2017	13 22/07/2017	 1 26/07/2017	 1 26/07/2017
17 02/08/2017	11 02/08/2017	 5 26/07/2017	22 29/07/2017	22 29/07/2017
 6 05/08/2017	14 05/08/2017	 3 29/07/2017	19 02/08/2017	 2 02/08/2017
11 09/08/2017	10 09/08/2017	21 05/08/2017	24 09/08/2017	12 09/08/2017
23 12/08/2017	 6 12/08/2017	 9 09/08/2017	13 12/08/2017	21 12/08/2017
14 16/08/2017	25 16/08/2017	 8 16/08/2017	 9 16/08/2017	 6 16/08/2017


