         1	         2	         3	         4	         5

 1 03/06/2015	24 18/05/2016	 2 11/05/2016	18 06/04/2016	24 03/06/2015
 3 24/06/2015	15 22/06/2016	12 08/06/2016	15 01/06/2016	22 13/04/2016
 9 27/01/2016	 6 20/07/2016	24 10/08/2016	13 20/07/2016	12 11/05/2016
23 08/06/2016	25 10/08/2016	11 21/09/2016	17 03/08/2016	13 09/11/2016
 7 28/09/2016	10 19/10/2016	22 07/12/2016	 2 06/09/2016	23 16/11/2016
 4 19/10/2016	19 26/10/2016	23 28/12/2016	 9 14/09/2016	16 30/11/2016
 8 23/11/2016	12 23/11/2016	19 04/01/2017	20 23/11/2016	 6 18/01/2017
 6 15/02/2017	 1 14/12/2016	18 01/02/2017	 4 07/12/2016	17 01/02/2017
24 08/03/2017	14 21/12/2016	15 15/02/2017	 7 14/12/2016	21 15/02/2017
10 29/03/2017	 2 08/02/2017	 7 01/03/2017	 1 21/12/2016	 4 22/03/2017
22 05/04/2017	11 15/02/2017	 5 08/03/2017	24 22/02/2017	25 12/04/2017
12 19/04/2017	18 01/03/2017	17 22/03/2017	11 08/03/2017	19 19/04/2017
13 26/04/2017	23 22/03/2017	10 12/04/2017	25 22/03/2017	18 26/04/2017
21 03/05/2017	 3 24/05/2017	13 26/04/2017	22 29/03/2017	 9 10/05/2017
14 17/05/2017	21 31/05/2017	21 03/05/2017	 5 05/04/2017	10 17/05/2017
 2 24/05/2017	 4 07/06/2017	 1 10/05/2017	12 19/04/2017	 2 31/05/2017
20 07/06/2017	 8 14/06/2017	 8 21/06/2017	21 26/04/2017	 5 14/06/2017
25 21/06/2017	 7 28/06/2017	 9 28/06/2017	 6 10/05/2017	14 21/06/2017
 5 28/06/2017	 9 05/07/2017	 4 05/07/2017	16 24/05/2017	11 28/06/2017
18 12/07/2017	22 12/07/2017	20 12/07/2017	 3 07/06/2017	 7 05/07/2017
19 19/07/2017	20 19/07/2017	14 19/07/2017	10 21/06/2017	20 12/07/2017
17 26/07/2017	13 26/07/2017	16 26/07/2017	19 26/07/2017	 1 19/07/2017
16 02/08/2017	16 02/08/2017	25 02/08/2017	 8 02/08/2017	 8 02/08/2017
11 09/08/2017	 5 09/08/2017	 3 09/08/2017	14 09/08/2017	 3 09/08/2017
15 16/08/2017	17 16/08/2017	 6 16/08/2017	23 16/08/2017	15 16/08/2017



         6	         7	         8	         9	        10

10 14/01/2015	 6 16/03/2016	19 29/07/2015	 4 04/05/2016	22 20/05/2015
13 06/09/2016	19 07/12/2016	 1 02/09/2015	14 11/05/2016	17 29/12/2015
 7 28/09/2016	 9 21/12/2016	16 21/09/2016	18 18/05/2016	18 10/02/2016
 4 19/10/2016	 5 28/12/2016	11 28/09/2016	21 13/07/2016	13 21/09/2016
 5 07/12/2016	21 18/01/2017	25 05/10/2016	23 05/10/2016	 7 25/01/2017
23 14/12/2016	 7 01/02/2017	12 19/10/2016	 7 26/10/2016	 3 01/02/2017
 2 04/01/2017	14 08/02/2017	24 26/10/2016	25 07/12/2016	 8 01/03/2017
12 25/01/2017	 8 15/02/2017	 6 30/11/2016	15 11/01/2017	11 08/03/2017
 6 15/02/2017	20 15/03/2017	22 28/12/2016	 2 01/02/2017	15 29/03/2017
 8 15/03/2017	 3 26/04/2017	23 01/02/2017	16 15/02/2017	 4 12/04/2017
25 22/03/2017	12 03/05/2017	15 22/03/2017	13 01/03/2017	19 19/04/2017
 9 29/03/2017	 4 10/05/2017	14 19/04/2017	 3 05/04/2017	14 26/04/2017
18 10/05/2017	16 17/05/2017	 2 03/05/2017	17 03/05/2017	24 03/05/2017
15 17/05/2017	18 24/05/2017	 3 10/05/2017	11 10/05/2017	20 24/05/2017
 1 24/05/2017	 1 31/05/2017	17 24/05/2017	22 17/05/2017	 5 31/05/2017
22 31/05/2017	 2 07/06/2017	21 31/05/2017	 5 24/05/2017	23 07/06/2017
21 07/06/2017	15 14/06/2017	10 14/06/2017	 6 14/06/2017	 9 21/06/2017
19 14/06/2017	23 21/06/2017	 7 21/06/2017	10 21/06/2017	16 28/06/2017
24 21/06/2017	22 28/06/2017	13 28/06/2017	 8 28/06/2017	21 05/07/2017
 3 28/06/2017	24 05/07/2017	18 05/07/2017	20 05/07/2017	10 12/07/2017
16 05/07/2017	17 19/07/2017	20 12/07/2017	12 19/07/2017	25 19/07/2017
20 19/07/2017	13 26/07/2017	 4 19/07/2017	 1 26/07/2017	 1 26/07/2017
17 02/08/2017	11 02/08/2017	 5 26/07/2017	19 02/08/2017	 2 02/08/2017
11 09/08/2017	10 09/08/2017	 9 09/08/2017	24 09/08/2017	12 09/08/2017
14 16/08/2017	25 16/08/2017	 8 16/08/2017	 9 16/08/2017	 6 16/08/2017


