         1	         2	         3	         4	         5

12 20/06/2015	22 23/05/2015	24 27/04/2013	 7 31/10/2015	17 23/04/2016
 3 30/01/2016	15 09/04/2016	 8 19/03/2016	18 13/02/2016	 8 04/06/2016
19 18/06/2016	12 21/05/2016	25 02/07/2016	19 27/02/2016	 2 05/11/2016
 6 27/08/2016	 7 09/07/2016	16 30/07/2016	 2 17/09/2016	21 12/11/2016
10 10/09/2016	 4 22/10/2016	 2 29/10/2016	15 05/11/2016	 3 03/12/2016
 8 15/10/2016	21 12/11/2016	 4 31/12/2016	 1 12/11/2016	 5 24/12/2016
24 05/11/2016	11 17/12/2016	 3 21/01/2017	 8 03/12/2016	11 14/01/2017
18 12/11/2016	 3 31/12/2016	23 28/01/2017	11 14/01/2017	18 21/01/2017
 5 03/12/2016	 5 21/01/2017	17 18/02/2017	21 28/01/2017	 6 25/02/2017
 2 24/12/2016	10 28/01/2017	20 25/02/2017	22 04/02/2017	24 25/03/2017
16 14/01/2017	16 11/02/2017	21 11/03/2017	 4 11/03/2017	13 01/04/2017
23 11/03/2017	 2 25/03/2017	19 18/03/2017	 9 18/03/2017	22 15/04/2017
 4 08/04/2017	19 01/04/2017	11 01/04/2017	 3 01/04/2017	10 22/04/2017
15 22/04/2017	 6 22/04/2017	22 15/04/2017	 5 08/04/2017	15 29/04/2017
17 06/05/2017	17 13/05/2017	15 29/04/2017	13 15/04/2017	23 06/05/2017
13 20/05/2017	14 27/05/2017	14 13/05/2017	14 29/04/2017	16 13/05/2017
11 10/06/2017	24 03/06/2017	 5 27/05/2017	24 13/05/2017	12 27/05/2017
22 17/06/2017	 8 10/06/2017	 6 17/06/2017	 6 03/06/2017	20 10/06/2017
 1 24/06/2017	18 17/06/2017	 9 24/06/2017	10 17/06/2017	 4 17/06/2017
20 01/07/2017	13 24/06/2017	 1 01/07/2017	12 24/06/2017	19 01/07/2017
 9 08/07/2017	25 01/07/2017	18 08/07/2017	25 01/07/2017	14 08/07/2017
25 22/07/2017	20 08/07/2017	13 22/07/2017	17 22/07/2017	25 22/07/2017
14 29/07/2017	 1 29/07/2017	 7 29/07/2017	20 29/07/2017	 7 29/07/2017
 7 05/08/2017	 9 05/08/2017	10 05/08/2017	23 05/08/2017	 9 05/08/2017
21 12/08/2017	23 12/08/2017	12 12/08/2017	16 12/08/2017	 1 12/08/2017



         6	         7	         8	         9	        10

 9 28/03/2015	 4 01/08/2015	16 16/04/2016	23 16/08/2014	 1 12/12/2015
19 07/11/2015	 9 21/11/2015	 4 01/10/2016	10 28/05/2016	16 21/05/2016
21 12/12/2015	17 05/03/2016	 2 10/12/2016	 2 18/06/2016	 7 16/07/2016
24 05/11/2016	19 12/03/2016	23 17/12/2016	16 23/07/2016	24 15/10/2016
 3 10/12/2016	15 25/06/2016	15 14/01/2017	 1 17/12/2016	 8 22/10/2016
18 14/01/2017	 7 27/08/2016	25 28/01/2017	14 07/01/2017	15 05/11/2016
 1 28/01/2017	 5 19/11/2016	19 04/02/2017	 3 28/01/2017	 3 24/12/2016
14 11/02/2017	25 03/12/2016	17 18/02/2017	18 11/03/2017	18 21/01/2017
 7 18/02/2017	23 21/01/2017	 6 04/03/2017	25 25/03/2017	23 28/01/2017
 4 04/03/2017	 3 28/01/2017	 7 25/03/2017	 7 08/04/2017	17 18/02/2017
 8 25/03/2017	22 01/04/2017	 9 22/04/2017	15 15/04/2017	19 04/03/2017
17 01/04/2017	10 08/04/2017	 1 29/04/2017	21 29/04/2017	 5 25/03/2017
12 29/04/2017	18 22/04/2017	22 06/05/2017	11 06/05/2017	25 08/04/2017
16 06/05/2017	 8 29/04/2017	14 20/05/2017	20 20/05/2017	13 29/04/2017
15 20/05/2017	16 06/05/2017	18 27/05/2017	 6 27/05/2017	 2 27/05/2017
11 10/06/2017	 1 20/05/2017	12 03/06/2017	 5 10/06/2017	 9 03/06/2017
22 17/06/2017	 2 27/05/2017	11 10/06/2017	 8 17/06/2017	12 10/06/2017
 2 24/06/2017	24 03/06/2017	20 17/06/2017	19 24/06/2017	20 24/06/2017
20 01/07/2017	11 24/06/2017	 5 24/06/2017	17 01/07/2017	 4 01/07/2017
10 08/07/2017	20 01/07/2017	10 01/07/2017	12 08/07/2017	11 08/07/2017
 5 15/07/2017	12 08/07/2017	24 15/07/2017	24 15/07/2017	10 15/07/2017
25 22/07/2017	21 22/07/2017	13 22/07/2017	 4 22/07/2017	14 22/07/2017
13 29/07/2017	13 29/07/2017	 3 29/07/2017	22 29/07/2017	22 29/07/2017
 6 05/08/2017	14 05/08/2017	21 05/08/2017	 9 05/08/2017	 6 05/08/2017
23 12/08/2017	 6 12/08/2017	 8 12/08/2017	13 12/08/2017	21 12/08/2017


