         1	         2	         3	         4	         5

18 05/10/2016	24 24/09/2016	21 08/06/2016	15 26/11/2016	 4 15/10/2016
 7 15/10/2016	10 22/10/2016	22 25/02/2017	 5 08/02/2017	19 04/02/2017
12 14/01/2017	12 10/12/2016	20 04/03/2017	14 15/02/2017	 7 22/02/2017
 5 28/01/2017	11 14/12/2016	16 18/03/2017	 7 04/03/2017	22 08/03/2017
14 18/02/2017	 9 04/02/2017	25 08/04/2017	 1 22/03/2017	16 11/03/2017
 1 11/03/2017	 7 29/03/2017	 1 19/04/2017	21 08/04/2017	 5 03/05/2017
20 15/03/2017	17 01/04/2017	18 29/04/2017	 6 15/04/2017	10 10/05/2017
 4 12/04/2017	23 08/04/2017	12 03/05/2017	 8 17/05/2017	 9 13/05/2017
 8 29/04/2017	 1 19/04/2017	 6 06/05/2017	10 24/05/2017	23 17/05/2017
10 03/05/2017	 2 26/04/2017	13 13/05/2017	19 27/05/2017	 8 20/05/2017
17 06/05/2017	 4 29/04/2017	 4 24/05/2017	13 14/06/2017	15 07/06/2017
 3 10/05/2017	15 03/05/2017	19 07/06/2017	22 17/06/2017	17 21/06/2017
 2 07/06/2017	14 03/06/2017	15 10/06/2017	 2 21/06/2017	11 01/07/2017
22 28/06/2017	16 07/06/2017	17 14/06/2017	18 24/06/2017	20 05/07/2017
19 01/07/2017	25 17/06/2017	 5 17/06/2017	16 28/06/2017	13 08/07/2017
25 12/07/2017	20 01/07/2017	10 24/06/2017	11 08/07/2017	18 12/07/2017
23 15/07/2017	21 08/07/2017	 7 01/07/2017	17 19/07/2017	 3 15/07/2017
16 19/07/2017	 6 15/07/2017	 9 05/07/2017	23 22/07/2017	 2 22/07/2017
21 22/07/2017	22 19/07/2017	24 12/07/2017	12 26/07/2017	 1 26/07/2017
13 29/07/2017	 3 26/07/2017	 8 26/07/2017	20 29/07/2017	21 29/07/2017
11 02/08/2017	 8 29/07/2017	14 29/07/2017	 4 02/08/2017	25 02/08/2017
15 05/08/2017	13 05/08/2017	 2 05/08/2017	25 05/08/2017	14 05/08/2017
 9 09/08/2017	19 09/08/2017	 3 09/08/2017	 9 09/08/2017	 6 09/08/2017
 6 12/08/2017	 5 12/08/2017	23 12/08/2017	 3 12/08/2017	12 12/08/2017
24 16/08/2017	18 16/08/2017	11 16/08/2017	24 16/08/2017	24 16/08/2017



         6	         7	         8	         9	        10

10 19/10/2016	11 12/11/2016	17 01/06/2016	24 16/11/2016	 1 23/09/2015
11 17/12/2016	22 14/01/2017	20 23/07/2016	18 04/02/2017	 5 20/02/2016
 4 24/12/2016	23 21/01/2017	12 30/11/2016	 7 22/02/2017	 9 10/12/2016
12 15/02/2017	15 01/02/2017	 9 03/12/2016	12 25/02/2017	25 11/02/2017
 2 25/02/2017	12 25/02/2017	 1 11/02/2017	25 01/03/2017	 8 08/03/2017
25 25/03/2017	24 22/03/2017	14 01/04/2017	22 01/04/2017	24 08/04/2017
 7 03/05/2017	16 01/04/2017	18 26/04/2017	 1 12/04/2017	17 19/04/2017
17 13/05/2017	25 19/04/2017	 8 29/04/2017	20 19/04/2017	23 17/05/2017
13 27/05/2017	 8 10/05/2017	19 06/05/2017	11 26/04/2017	 6 20/05/2017
21 31/05/2017	 6 20/05/2017	15 13/05/2017	10 06/05/2017	 3 07/06/2017
 5 07/06/2017	14 03/06/2017	 5 17/05/2017	16 17/05/2017	14 14/06/2017
18 17/06/2017	17 07/06/2017	13 20/05/2017	21 20/05/2017	12 21/06/2017
 6 28/06/2017	 2 14/06/2017	21 24/05/2017	 5 27/05/2017	22 24/06/2017
23 01/07/2017	 3 21/06/2017	10 10/06/2017	 4 31/05/2017	10 01/07/2017
 8 05/07/2017	 4 24/06/2017	22 21/06/2017	 3 07/06/2017	 7 05/07/2017
20 08/07/2017	 9 05/07/2017	 4 05/07/2017	19 10/06/2017	11 08/07/2017
22 12/07/2017	20 12/07/2017	 2 12/07/2017	 2 21/06/2017	20 12/07/2017
19 19/07/2017	21 19/07/2017	16 19/07/2017	 6 28/06/2017	 2 15/07/2017
14 26/07/2017	 5 22/07/2017	25 22/07/2017	 9 22/07/2017	21 19/07/2017
 1 29/07/2017	 1 26/07/2017	23 26/07/2017	13 26/07/2017	16 22/07/2017
15 02/08/2017	10 02/08/2017	24 02/08/2017	17 02/08/2017	13 26/07/2017
 9 05/08/2017	13 05/08/2017	 7 05/08/2017	 8 05/08/2017	18 29/07/2017
 3 09/08/2017	18 09/08/2017	11 09/08/2017	14 09/08/2017	19 02/08/2017
24 12/08/2017	 7 12/08/2017	 3 12/08/2017	23 12/08/2017	15 09/08/2017
16 16/08/2017	19 16/08/2017	 6 16/08/2017	15 16/08/2017	 4 16/08/2017


