         1	         2	         3	         4	         5

 6 02/04/2014	 6 08/07/2015	25 06/04/2016	19 26/08/2015	 4 05/02/2014
12 22/10/2014	24 13/01/2016	22 01/06/2016	15 23/03/2016	 9 25/11/2015
 7 27/07/2016	 9 16/03/2016	21 08/06/2016	22 10/08/2016	19 05/10/2016
15 24/08/2016	10 06/04/2016	10 22/06/2016	21 06/09/2016	11 23/11/2016
18 05/10/2016	12 20/07/2016	15 10/08/2016	25 28/09/2016	16 14/12/2016
21 30/11/2016	14 06/09/2016	13 06/09/2016	 7 11/01/2017	14 01/02/2017
 5 28/12/2016	23 09/11/2016	20 05/10/2016	 6 18/01/2017	 8 15/02/2017
14 08/02/2017	17 16/11/2016	 7 09/11/2016	 5 08/02/2017	 7 22/02/2017
 8 15/02/2017	21 30/11/2016	18 07/12/2016	14 15/02/2017	22 08/03/2017
 1 22/02/2017	11 14/12/2016	16 18/01/2017	20 15/03/2017	 2 15/03/2017
20 15/03/2017	 4 01/03/2017	 6 15/03/2017	 1 22/03/2017	 5 03/05/2017
 4 12/04/2017	25 22/03/2017	14 22/03/2017	23 19/04/2017	10 10/05/2017
17 19/04/2017	 7 29/03/2017	 1 19/04/2017	11 26/04/2017	23 17/05/2017
10 03/05/2017	 1 19/04/2017	23 26/04/2017	 8 17/05/2017	13 24/05/2017
 3 10/05/2017	 2 26/04/2017	12 03/05/2017	10 24/05/2017	21 31/05/2017
19 24/05/2017	15 03/05/2017	 5 17/05/2017	18 31/05/2017	15 07/06/2017
 2 07/06/2017	16 07/06/2017	 4 24/05/2017	13 14/06/2017	17 21/06/2017
23 21/06/2017	 5 21/06/2017	19 07/06/2017	 2 21/06/2017	 3 28/06/2017
22 28/06/2017	20 28/06/2017	17 14/06/2017	16 28/06/2017	20 05/07/2017
25 12/07/2017	 8 05/07/2017	 9 05/07/2017	 3 12/07/2017	18 12/07/2017
16 19/07/2017	22 19/07/2017	24 12/07/2017	17 19/07/2017	12 19/07/2017
13 26/07/2017	 3 26/07/2017	 8 26/07/2017	12 26/07/2017	 1 26/07/2017
11 02/08/2017	13 02/08/2017	 2 02/08/2017	 4 02/08/2017	25 02/08/2017
 9 09/08/2017	19 09/08/2017	 3 09/08/2017	 9 09/08/2017	 6 09/08/2017
24 16/08/2017	18 16/08/2017	11 16/08/2017	24 16/08/2017	24 16/08/2017



         6	         7	         8	         9	        10

17 11/11/2015	11 21/10/2015	13 12/02/2014	18 09/03/2016	 1 23/09/2015
 4 09/12/2015	13 27/04/2016	 9 01/07/2015	10 21/09/2016	 5 18/11/2015
23 06/04/2016	22 28/09/2016	20 21/10/2015	24 16/11/2016	 2 10/02/2016
24 06/07/2016	12 14/12/2016	17 01/06/2016	12 23/11/2016	25 30/03/2016
25 10/08/2016	23 28/12/2016	10 28/09/2016	22 28/12/2016	24 24/08/2016
20 28/09/2016	 7 18/01/2017	 7 23/11/2016	19 11/01/2017	 9 23/11/2016
10 19/10/2016	16 25/01/2017	12 30/11/2016	21 25/01/2017	10 21/12/2016
11 23/11/2016	15 01/02/2017	 1 07/12/2016	 9 08/02/2017	16 11/01/2017
 1 14/12/2016	 5 15/02/2017	14 04/01/2017	 7 22/02/2017	18 25/01/2017
13 18/01/2017	 4 01/03/2017	 8 11/01/2017	25 01/03/2017	 6 01/02/2017
 2 08/02/2017	24 22/03/2017	15 01/03/2017	 5 22/03/2017	 8 08/03/2017
12 15/02/2017	 6 29/03/2017	 3 05/04/2017	 8 05/04/2017	22 05/04/2017
18 01/03/2017	25 19/04/2017	18 26/04/2017	 1 12/04/2017	17 19/04/2017
 7 03/05/2017	14 03/05/2017	19 03/05/2017	20 19/04/2017	11 26/04/2017
21 31/05/2017	 8 10/05/2017	 5 17/05/2017	11 26/04/2017	23 17/05/2017
 5 07/06/2017	17 07/06/2017	21 24/05/2017	16 17/05/2017	 3 07/06/2017
 9 14/06/2017	 2 14/06/2017	25 14/06/2017	 4 31/05/2017	14 14/06/2017
 6 28/06/2017	 3 21/06/2017	22 21/06/2017	 3 07/06/2017	12 21/06/2017
 8 05/07/2017	 9 05/07/2017	 4 05/07/2017	 2 21/06/2017	 7 05/07/2017
22 12/07/2017	20 12/07/2017	 2 12/07/2017	 6 28/06/2017	20 12/07/2017
19 19/07/2017	21 19/07/2017	16 19/07/2017	23 05/07/2017	21 19/07/2017
14 26/07/2017	 1 26/07/2017	23 26/07/2017	13 26/07/2017	13 26/07/2017
15 02/08/2017	10 02/08/2017	24 02/08/2017	17 02/08/2017	19 02/08/2017
 3 09/08/2017	18 09/08/2017	11 09/08/2017	14 09/08/2017	15 09/08/2017
16 16/08/2017	19 16/08/2017	 6 16/08/2017	15 16/08/2017	 4 16/08/2017


