         1	         2	         3	         4	         5

 4 28/11/2015	15 27/06/2015	12 11/10/2014	14 18/04/2015	15 25/07/2015
18 04/06/2016	22 11/07/2015	21 16/01/2016	 2 28/05/2016	17 27/02/2016
20 16/07/2016	24 24/09/2016	19 17/09/2016	13 09/07/2016	18 17/09/2016
25 03/09/2016	10 22/10/2016	 1 10/12/2016	17 10/09/2016	22 01/10/2016
 7 15/10/2016	11 29/10/2016	17 14/01/2017	24 05/11/2016	 4 15/10/2016
 3 19/11/2016	12 10/12/2016	 9 04/02/2017	 8 12/11/2016	 5 19/11/2016
16 26/11/2016	 9 04/02/2017	22 25/02/2017	15 26/11/2016	 1 10/12/2016
12 14/01/2017	 2 18/02/2017	20 04/03/2017	12 10/12/2016	 7 28/01/2017
 5 28/01/2017	 1 04/03/2017	11 11/03/2017	 5 17/12/2016	19 04/02/2017
14 18/02/2017	 7 18/03/2017	16 18/03/2017	 4 14/01/2017	 6 11/02/2017
 1 11/03/2017	17 01/04/2017	 4 01/04/2017	10 18/02/2017	10 25/02/2017
 9 18/03/2017	23 08/04/2017	25 08/04/2017	 1 25/02/2017	16 11/03/2017
22 01/04/2017	16 15/04/2017	18 29/04/2017	 7 04/03/2017	23 01/04/2017
10 15/04/2017	 4 29/04/2017	 6 06/05/2017	16 25/03/2017	 9 13/05/2017
 8 29/04/2017	19 13/05/2017	13 13/05/2017	21 08/04/2017	 8 20/05/2017
17 06/05/2017	18 27/05/2017	24 27/05/2017	 6 15/04/2017	20 27/05/2017
 2 27/05/2017	14 03/06/2017	 8 03/06/2017	19 27/05/2017	25 10/06/2017
24 03/06/2017	25 17/06/2017	15 10/06/2017	 9 03/06/2017	24 24/06/2017
19 01/07/2017	 3 24/06/2017	 5 17/06/2017	22 17/06/2017	11 01/07/2017
11 08/07/2017	20 01/07/2017	10 24/06/2017	18 24/06/2017	13 08/07/2017
23 15/07/2017	21 08/07/2017	 7 01/07/2017	11 08/07/2017	 3 15/07/2017
21 22/07/2017	 6 15/07/2017	 3 08/07/2017	23 22/07/2017	 2 22/07/2017
13 29/07/2017	 8 29/07/2017	14 29/07/2017	20 29/07/2017	21 29/07/2017
15 05/08/2017	13 05/08/2017	 2 05/08/2017	25 05/08/2017	14 05/08/2017
 6 12/08/2017	 5 12/08/2017	23 12/08/2017	 3 12/08/2017	12 12/08/2017



         6	         7	         8	         9	        10

 5 31/10/2015	24 27/02/2016	17 30/05/2015	 4 24/12/2015	 1 25/07/2015
21 16/01/2016	20 14/05/2016	20 23/07/2016	24 16/01/2016	 5 20/02/2016
22 11/06/2016	 8 18/06/2016	12 08/10/2016	 7 04/06/2016	20 27/08/2016
10 17/09/2016	15 17/09/2016	 9 03/12/2016	 2 02/07/2016	 8 15/10/2016
 7 10/12/2016	11 12/11/2016	18 31/12/2016	11 09/07/2016	13 03/12/2016
11 17/12/2016	10 10/12/2016	 4 07/01/2017	16 05/11/2016	 9 10/12/2016
 4 24/12/2016	22 14/01/2017	23 28/01/2017	20 12/11/2016	17 17/12/2016
 3 21/01/2017	23 21/01/2017	 1 11/02/2017	17 26/11/2016	15 14/01/2017
12 28/01/2017	 9 04/02/2017	22 18/02/2017	25 21/01/2017	25 11/02/2017
16 11/02/2017	12 25/02/2017	21 25/03/2017	18 04/02/2017	21 25/02/2017
 2 25/02/2017	 2 04/03/2017	14 01/04/2017	12 25/02/2017	23 18/03/2017
25 25/03/2017	16 01/04/2017	 5 08/04/2017	 1 25/03/2017	 7 01/04/2017
15 15/04/2017	25 08/04/2017	 6 15/04/2017	22 01/04/2017	24 08/04/2017
 6 22/04/2017	17 15/04/2017	 8 29/04/2017	 3 22/04/2017	19 15/04/2017
19 29/04/2017	 3 06/05/2017	19 06/05/2017	 6 29/04/2017	12 06/05/2017
17 13/05/2017	19 13/05/2017	15 13/05/2017	10 06/05/2017	 3 13/05/2017
13 27/05/2017	 6 20/05/2017	13 20/05/2017	21 20/05/2017	 6 20/05/2017
 8 10/06/2017	18 27/05/2017	16 03/06/2017	 5 27/05/2017	14 27/05/2017
18 17/06/2017	14 03/06/2017	10 10/06/2017	19 10/06/2017	22 24/06/2017
14 24/06/2017	 1 17/06/2017	 2 01/07/2017	15 24/06/2017	10 01/07/2017
23 01/07/2017	 4 24/06/2017	11 15/07/2017	13 08/07/2017	11 08/07/2017
20 08/07/2017	21 08/07/2017	25 22/07/2017	 9 22/07/2017	 2 15/07/2017
 1 29/07/2017	 5 22/07/2017	24 29/07/2017	14 29/07/2017	16 22/07/2017
 9 05/08/2017	13 05/08/2017	 7 05/08/2017	 8 05/08/2017	18 29/07/2017
24 12/08/2017	 7 12/08/2017	 3 12/08/2017	23 12/08/2017	 4 12/08/2017


