         1	         2	         3	         4	         5

17 23/07/2016	18 20/07/2016	 6 08/06/2016	15 01/10/2016	12 27/08/2016
24 10/08/2016	13 10/08/2016	14 01/11/2016	 6 18/03/2017	23 07/12/2016
19 24/08/2016	11 30/11/2016	 5 18/01/2017	 7 01/04/2017	25 14/01/2017
22 28/12/2016	 9 03/12/2016	22 25/02/2017	11 15/04/2017	16 01/03/2017
23 01/02/2017	25 28/01/2017	11 11/03/2017	 3 22/04/2017	13 29/03/2017
13 22/03/2017	21 15/02/2017	20 08/04/2017	12 26/04/2017	 7 26/04/2017
 5 25/03/2017	22 15/03/2017	 7 19/04/2017	 8 29/04/2017	20 03/05/2017
 1 08/04/2017	15 01/04/2017	12 06/05/2017	14 06/05/2017	24 17/05/2017
15 20/05/2017	10 22/04/2017	 1 10/05/2017	19 10/05/2017	 2 24/05/2017
16 27/05/2017	 8 29/04/2017	24 20/05/2017	10 13/05/2017	 8 31/05/2017
18 07/06/2017	19 06/05/2017	13 07/06/2017	16 07/06/2017	17 03/06/2017
 8 14/06/2017	14 13/05/2017	 2 10/06/2017	17 21/06/2017	22 07/06/2017
 6 21/06/2017	16 03/06/2017	 3 17/06/2017	25 24/06/2017	 5 14/06/2017
14 28/06/2017	23 14/06/2017	16 28/06/2017	18 05/07/2017	 9 17/06/2017
12 01/07/2017	20 21/06/2017	21 01/07/2017	 4 08/07/2017	15 21/06/2017
20 05/07/2017	 1 28/06/2017	25 08/07/2017	24 12/07/2017	 3 01/07/2017
25 15/07/2017	 5 05/07/2017	15 12/07/2017	 1 15/07/2017	19 05/07/2017
 4 19/07/2017	 4 08/07/2017	19 22/07/2017	20 19/07/2017	 1 08/07/2017
11 22/07/2017	 2 12/07/2017	 8 26/07/2017	23 22/07/2017	 4 12/07/2017
 3 26/07/2017	17 19/07/2017	 9 29/07/2017	22 26/07/2017	 6 15/07/2017
 2 29/07/2017	24 02/08/2017	17 02/08/2017	21 29/07/2017	21 02/08/2017
 7 02/08/2017	 6 05/08/2017	18 05/08/2017	 2 05/08/2017	14 05/08/2017
21 05/08/2017	12 09/08/2017	 4 09/08/2017	 9 09/08/2017	11 09/08/2017
10 09/08/2017	 3 12/08/2017	23 12/08/2017	 5 12/08/2017	18 12/08/2017
 9 16/08/2017	 7 16/08/2017	10 16/08/2017	13 16/08/2017	10 16/08/2017



         6	         7	         8	         9	        10

24 24/09/2016	14 02/03/2016	 6 18/01/2017	20 26/10/2016	 2 14/01/2017
25 12/11/2016	22 10/09/2016	15 25/01/2017	16 04/03/2017	22 18/01/2017
11 24/12/2016	 6 01/10/2016	21 25/02/2017	19 01/04/2017	25 25/01/2017
18 01/02/2017	16 18/03/2017	19 01/03/2017	22 19/04/2017	 8 12/04/2017
20 22/02/2017	 5 05/04/2017	25 04/03/2017	23 22/04/2017	21 19/04/2017
21 11/03/2017	18 12/04/2017	13 11/03/2017	 7 03/05/2017	13 10/05/2017
 2 25/03/2017	24 26/04/2017	 5 29/03/2017	21 06/05/2017	 3 20/05/2017
22 03/05/2017	19 29/04/2017	24 13/05/2017	15 13/05/2017	 4 31/05/2017
16 17/05/2017	11 13/05/2017	11 27/05/2017	 6 03/06/2017	 7 03/06/2017
 5 27/05/2017	 3 17/05/2017	14 07/06/2017	 4 07/06/2017	 6 07/06/2017
23 07/06/2017	10 20/05/2017	 2 17/06/2017	13 10/06/2017	12 17/06/2017
10 14/06/2017	20 07/06/2017	17 21/06/2017	 8 14/06/2017	17 24/06/2017
 6 17/06/2017	17 14/06/2017	 3 24/06/2017	24 17/06/2017	 1 01/07/2017
 9 28/06/2017	 7 01/07/2017	22 01/07/2017	17 21/06/2017	20 05/07/2017
 3 01/07/2017	 8 05/07/2017	12 05/07/2017	12 01/07/2017	11 08/07/2017
19 12/07/2017	23 12/07/2017	 1 08/07/2017	 3 05/07/2017	24 12/07/2017
 8 15/07/2017	12 19/07/2017	 8 15/07/2017	 1 12/07/2017	14 15/07/2017
15 19/07/2017	 2 22/07/2017	20 22/07/2017	10 19/07/2017	10 19/07/2017
14 22/07/2017	 9 26/07/2017	 7 26/07/2017	11 22/07/2017	 9 22/07/2017
17 26/07/2017	15 29/07/2017	10 29/07/2017	25 26/07/2017	23 26/07/2017
 1 02/08/2017	 1 02/08/2017	16 02/08/2017	 9 29/07/2017	 5 29/07/2017
13 05/08/2017	25 05/08/2017	18 05/08/2017	 2 05/08/2017	16 05/08/2017
 4 09/08/2017	 4 09/08/2017	 4 09/08/2017	14 09/08/2017	19 09/08/2017
12 12/08/2017	21 12/08/2017	23 12/08/2017	 5 12/08/2017	15 12/08/2017
 7 16/08/2017	13 16/08/2017	 9 16/08/2017	18 16/08/2017	18 16/08/2017


