         1	         2	         3	         4	         5

17 23/03/2016	10 09/12/2015	23 29/07/2015	21 23/03/2016	17 17/06/2015
24 10/08/2016	 8 13/04/2016	 3 09/03/2016	15 10/08/2016	 9 02/03/2016
19 24/08/2016	18 20/07/2016	11 23/03/2016	10 19/10/2016	14 04/05/2016
 1 06/09/2016	13 10/08/2016	12 20/04/2016	 7 26/10/2016	12 20/07/2016
25 05/10/2016	 9 21/09/2016	 6 08/06/2016	 6 28/12/2016	25 16/11/2016
12 09/11/2016	11 30/11/2016	22 19/10/2016	 8 04/01/2017	23 07/12/2016
 5 21/12/2016	14 04/01/2017	 2 26/10/2016	11 01/02/2017	 3 25/01/2017
22 28/12/2016	25 25/01/2017	14 01/11/2016	25 08/02/2017	 1 15/02/2017
23 01/02/2017	21 15/02/2017	19 14/12/2016	 2 15/03/2017	16 01/03/2017
13 22/03/2017	15 01/03/2017	24 11/01/2017	 3 22/03/2017	13 29/03/2017
11 05/04/2017	22 15/03/2017	 5 18/01/2017	 1 05/04/2017	 7 26/04/2017
15 19/04/2017	16 29/03/2017	20 01/03/2017	12 26/04/2017	20 03/05/2017
 2 03/05/2017	19 03/05/2017	25 05/04/2017	14 03/05/2017	24 17/05/2017
16 24/05/2017	 6 10/05/2017	 7 19/04/2017	19 10/05/2017	 2 24/05/2017
18 07/06/2017	 4 17/05/2017	 1 10/05/2017	23 24/05/2017	 8 31/05/2017
 8 14/06/2017	 3 07/06/2017	21 17/05/2017	 4 31/05/2017	22 07/06/2017
 6 21/06/2017	23 14/06/2017	13 07/06/2017	16 07/06/2017	 5 14/06/2017
14 28/06/2017	20 21/06/2017	18 14/06/2017	 5 14/06/2017	15 21/06/2017
20 05/07/2017	 1 28/06/2017	16 28/06/2017	17 21/06/2017	 6 28/06/2017
21 12/07/2017	 5 05/07/2017	15 12/07/2017	18 05/07/2017	19 05/07/2017
 4 19/07/2017	 2 12/07/2017	 9 19/07/2017	24 12/07/2017	 4 12/07/2017
 3 26/07/2017	17 19/07/2017	 8 26/07/2017	20 19/07/2017	18 19/07/2017
 7 02/08/2017	24 02/08/2017	17 02/08/2017	22 26/07/2017	21 02/08/2017
10 09/08/2017	12 09/08/2017	 4 09/08/2017	 9 09/08/2017	11 09/08/2017
 9 16/08/2017	 7 16/08/2017	10 16/08/2017	13 16/08/2017	10 16/08/2017



         6	         7	         8	         9	        10

24 13/07/2016	21 05/08/2015	22 11/05/2016	23 20/07/2016	 5 09/09/2015
11 27/07/2016	 6 17/02/2016	13 18/05/2016	 6 27/07/2016	17 03/02/2016
 3 31/08/2016	14 02/03/2016	25 25/05/2016	19 11/10/2016	 7 17/08/2016
 2 19/10/2016	22 08/06/2016	 3 28/09/2016	20 26/10/2016	11 23/11/2016
25 26/10/2016	10 11/10/2016	21 19/10/2016	12 16/11/2016	 3 14/12/2016
 5 21/12/2016	15 23/11/2016	20 14/12/2016	21 30/11/2016	 2 21/12/2016
21 28/12/2016	19 07/12/2016	24 11/01/2017	16 28/12/2016	22 18/01/2017
18 01/02/2017	16 18/01/2017	 6 18/01/2017	11 01/02/2017	25 25/01/2017
13 08/02/2017	11 08/02/2017	15 25/01/2017	15 08/02/2017	14 08/02/2017
20 22/02/2017	 7 15/03/2017	19 01/03/2017	 2 15/03/2017	16 15/02/2017
 6 01/03/2017	 5 05/04/2017	11 22/03/2017	24 05/04/2017	12 01/03/2017
 8 05/04/2017	18 12/04/2017	 5 29/03/2017	22 19/04/2017	 8 12/04/2017
14 19/04/2017	 2 19/04/2017	 1 26/04/2017	 7 03/05/2017	21 19/04/2017
12 26/04/2017	24 26/04/2017	 2 10/05/2017	13 24/05/2017	13 10/05/2017
22 03/05/2017	 3 17/05/2017	23 17/05/2017	 9 31/05/2017	 1 17/05/2017
16 17/05/2017	20 07/06/2017	 8 31/05/2017	 4 07/06/2017	 4 31/05/2017
23 07/06/2017	17 14/06/2017	14 07/06/2017	 8 14/06/2017	 6 07/06/2017
10 14/06/2017	25 21/06/2017	17 21/06/2017	17 21/06/2017	 9 14/06/2017
 9 28/06/2017	 8 05/07/2017	12 05/07/2017	 5 28/06/2017	20 05/07/2017
19 12/07/2017	23 12/07/2017	18 12/07/2017	 3 05/07/2017	24 12/07/2017
15 19/07/2017	12 19/07/2017	10 19/07/2017	 1 12/07/2017	10 19/07/2017
17 26/07/2017	 9 26/07/2017	 7 26/07/2017	10 19/07/2017	23 26/07/2017
 1 02/08/2017	 1 02/08/2017	16 02/08/2017	25 26/07/2017	15 02/08/2017
 4 09/08/2017	 4 09/08/2017	 4 09/08/2017	14 09/08/2017	19 09/08/2017
 7 16/08/2017	13 16/08/2017	 9 16/08/2017	18 16/08/2017	18 16/08/2017


