         1	         2	         3	         4	         5

 3 05/12/2015	18 26/03/2016	14 05/09/2015	19 30/05/2015	24 16/04/2016
19 09/04/2016	11 11/06/2016	 6 17/10/2015	15 01/10/2016	12 27/08/2016
24 07/05/2016	21 23/07/2016	16 23/04/2016	20 29/10/2016	 8 24/09/2016
22 02/07/2016	13 30/07/2016	 5 20/08/2016	24 26/11/2016	16 29/10/2016
17 23/07/2016	 7 19/11/2016	15 08/10/2016	16 03/12/2016	23 12/11/2016
20 08/10/2016	 9 03/12/2016	10 26/11/2016	12 11/02/2017	 2 19/11/2016
23 28/01/2017	25 28/01/2017	 7 10/12/2016	18 04/03/2017	 4 31/12/2016
18 04/02/2017	22 18/02/2017	17 17/12/2016	 6 18/03/2017	25 14/01/2017
 8 11/02/2017	17 18/03/2017	 1 28/01/2017	 7 01/04/2017	15 04/02/2017
 6 04/03/2017	20 25/03/2017	22 25/02/2017	11 15/04/2017	13 18/02/2017
13 18/03/2017	15 01/04/2017	11 11/03/2017	 3 22/04/2017	21 25/02/2017
 5 25/03/2017	 5 08/04/2017	20 08/04/2017	 8 29/04/2017	 7 01/04/2017
14 01/04/2017	10 22/04/2017	 8 15/04/2017	14 06/05/2017	20 22/04/2017
 1 08/04/2017	 8 29/04/2017	 4 29/04/2017	10 13/05/2017	22 29/04/2017
10 22/04/2017	19 06/05/2017	12 06/05/2017	 9 27/05/2017	 5 20/05/2017
15 20/05/2017	14 13/05/2017	24 20/05/2017	13 03/06/2017	19 27/05/2017
16 27/05/2017	23 27/05/2017	13 27/05/2017	17 17/06/2017	17 03/06/2017
 7 24/06/2017	16 03/06/2017	 2 10/06/2017	25 24/06/2017	 9 17/06/2017
12 01/07/2017	 1 17/06/2017	 3 17/06/2017	22 01/07/2017	10 24/06/2017
 4 08/07/2017	 2 01/07/2017	21 01/07/2017	 4 08/07/2017	 3 01/07/2017
25 15/07/2017	 4 08/07/2017	25 08/07/2017	 1 15/07/2017	 1 08/07/2017
11 22/07/2017	12 15/07/2017	19 22/07/2017	23 22/07/2017	 6 15/07/2017
 2 29/07/2017	24 29/07/2017	 9 29/07/2017	21 29/07/2017	11 29/07/2017
21 05/08/2017	 6 05/08/2017	18 05/08/2017	 2 05/08/2017	14 05/08/2017
 9 12/08/2017	 3 12/08/2017	23 12/08/2017	 5 12/08/2017	18 12/08/2017



         6	         7	         8	         9	        10

23 31/10/2015	14 27/02/2016	 6 10/10/2015	14 16/04/2016	 8 19/03/2016
 4 09/01/2016	 8 25/06/2016	16 30/01/2016	 7 23/04/2016	22 28/05/2016
18 17/09/2016	22 10/09/2016	 5 06/02/2016	17 02/07/2016	25 25/06/2016
24 24/09/2016	 6 01/10/2016	14 10/09/2016	22 23/07/2016	24 06/08/2016
25 12/11/2016	24 26/11/2016	15 08/10/2016	20 08/10/2016	 4 15/10/2016
 1 03/12/2016	 1 10/12/2016	 7 10/12/2016	 3 05/11/2016	21 22/10/2016
17 10/12/2016	 3 21/01/2017	17 17/12/2016	18 17/12/2016	19 24/12/2016
11 24/12/2016	23 28/01/2017	19 14/01/2017	25 21/01/2017	 2 14/01/2017
20 07/01/2017	20 25/02/2017	21 25/02/2017	16 04/03/2017	18 21/01/2017
16 18/02/2017	18 04/03/2017	25 04/03/2017	 8 11/03/2017	 6 18/03/2017
21 11/03/2017	16 18/03/2017	13 11/03/2017	19 01/04/2017	23 01/04/2017
 2 25/03/2017	 5 01/04/2017	 9 15/04/2017	 4 15/04/2017	10 08/04/2017
10 01/04/2017	19 29/04/2017	12 06/05/2017	23 22/04/2017	13 29/04/2017
22 15/04/2017	11 13/05/2017	24 13/05/2017	10 29/04/2017	20 06/05/2017
15 13/05/2017	10 20/05/2017	11 27/05/2017	21 06/05/2017	 3 20/05/2017
 5 27/05/2017	 9 03/06/2017	 4 03/06/2017	15 13/05/2017	 7 03/06/2017
 6 17/06/2017	17 10/06/2017	 2 17/06/2017	 6 03/06/2017	12 17/06/2017
 9 24/06/2017	12 24/06/2017	 3 24/06/2017	13 10/06/2017	17 24/06/2017
 3 01/07/2017	 7 01/07/2017	22 01/07/2017	24 17/06/2017	 1 01/07/2017
19 08/07/2017	 4 08/07/2017	 1 08/07/2017	12 01/07/2017	11 08/07/2017
 8 15/07/2017	13 15/07/2017	 8 15/07/2017	 1 08/07/2017	14 15/07/2017
14 22/07/2017	 2 22/07/2017	20 22/07/2017	11 22/07/2017	 9 22/07/2017
 7 29/07/2017	15 29/07/2017	10 29/07/2017	 9 29/07/2017	 5 29/07/2017
13 05/08/2017	25 05/08/2017	18 05/08/2017	 2 05/08/2017	16 05/08/2017
12 12/08/2017	21 12/08/2017	23 12/08/2017	 5 12/08/2017	15 12/08/2017


